Stnr;Dato;RR;TAM;TAN;TAX
25840;11.07.1970;5.6;3.1;1;5.3
25840;12.07.1970;4.5;3.8;2.1;5.6
25840;13.07.1970;4.9;3.7;2.7;5.9
25840;14.07.1970;8.5;4.5;2.3;8.1
25840;15.07.1970;5.9;6.8;4.1;9.7
25840;16.07.1970;0.1;4.4;1.5;8.1
25840;17.07.1970;0;5.1;1.4;9.4
25840;18.07.1970;4.6;6.1;5.1;8.4
25840;19.07.1970;6;5;1.9;8.4
25840;20.07.1970;3.6;5.8;3.5;8
25840;21.07.1970;6.9;6.4;5.6;7.9
25840;22.07.1970;17;2.4;1.8;6
25840;23.07.1970;26.1;3.4;1.5;5.9
25840;24.07.1970;3.2;5.9;3.6;8.4
25840;25.07.1970;2.1;4.4;0.8;8.3
25840;26.07.1970;8.9;9;6.5;12.1
25840;27.07.1970;1.1;7.3;6;11.1
25840;28.07.1970;2.3;6.6;4;9.5
25840;29.07.1970;1.3;6.4;4.9;9.1
25840;30.07.1970;3.9;6.2;4.4;8.7
25840;31.07.1970;0.3;7.8;5.9;9.2
25840;01.08.1970;1.7;8.8;3.1;13.5
